Country,Tax_Type,Income_Bracket_Lower,Income_Bracket_Upper,Rate_Percent,Notes,Source,Last_Verified,Estimation_Flag
UK,Income Tax,0,12570,0,"Personal Allowance — zero rate. Frozen at £12,570 until April 2028. PA begins withdrawing at £100,000 (£1 PA lost per £2 earned above £100k), creating an effective 60% marginal rate between £100k-£125,140.","gov.uk/income-tax-rates; House of Commons Library CBP-10237",2026-02-17,N
UK,Income Tax,12571,50270,20,"Basic Rate. Applies to £37,700 of taxable income above the personal allowance (i.e. gross income £12,571-£50,270). Thresholds frozen until April 2028.","gov.uk/income-tax-rates; House of Commons Library CBP-10237",2026-02-17,N
UK,Income Tax,50271,125140,40,"Higher Rate. Note: Between £100,001 and £125,140, the personal allowance is withdrawn at £1 per £2 earned, creating an effective marginal rate of 60% in this band. Tool should flag this for consultants earning in this range.","gov.uk/income-tax-rates; House of Commons Library CBP-10237",2026-02-17,N
UK,Income Tax,125141,9999999,45,"Additional Rate. Applies to all income above £125,140. At £125,140 the personal allowance is fully withdrawn.","gov.uk/income-tax-rates; House of Commons Library CBP-10237",2026-02-17,N
UK,National Insurance,0,12569,0,"Below Primary Threshold — no NI contributions. Lower Earnings Limit is £6,500/year (£125/week); earnings above LEL but below PT count as notional NI for state pension credits.","gov.uk NI rates and allowances 2025-26; FreeAgent; Crunch.co.uk",2026-02-17,N
UK,National Insurance,12570,50270,8,"Class 1 Employee NI main rate. Primary Threshold = £12,570/year (£242/week). Rate reduced from 12% to 10% in Jan 2024, then to 8% from April 2024. Confirmed at 8% for 2025-26. Applies on earnings between PT and Upper Earnings Limit (£50,270/year = £967/week).","gov.uk NI rates and allowances 2025-26; HMRC; Meranti Accounting",2026-02-17,N
UK,National Insurance,50271,9999999,2,"Class 1 Employee NI above Upper Earnings Limit. Applies on all earnings above £50,270/year. No upper cap.","gov.uk NI rates and allowances 2025-26",2026-02-17,N
UK,NHS Pension,0,13259,5.2,"2015 Scheme Tier 1. FLAT-RATE tier — this rate applies to ALL pensionable pay (not just the portion in this bracket). Thresholds uplifted by 3.6% from 1 April 2025. Contributions are made pre-tax (true cost is rate × (1 - marginal tax rate)).","NHSBSA nhspensions-contribution-rates-202526; BMA pension contribution rates; gov.uk NHS Pension Scheme changes 2025",2026-02-17,N
UK,NHS Pension,13260,27797,6.5,"2015 Scheme Tier 2. FLAT-RATE (see Tier 1 note). Thresholds reflect 3.6% uplift from April 2025 AfC pay award. FY1 doctors (£38,831) fall in Tier 4; FY2 doctors (£44,439) fall in Tier 4; CT1 Registrars (£49,909) fall in Tier 4; ST3+ and Consultants fall in Tier 5 or 6.","NHSBSA; BMA; gov.uk",2026-02-17,N
UK,NHS Pension,27798,33868,8.3,"2015 Scheme Tier 3. FLAT-RATE (see Tier 1 note). Updated thresholds from 1 April 2025.","NHSBSA; BMA; gov.uk",2026-02-17,N
UK,NHS Pension,33869,50845,9.8,"2015 Scheme Tier 4. FLAT-RATE (see Tier 1 note). FY1 (£38,831) and FY2 (£44,439) and CT1 (£49,909) all fall within this tier.","NHSBSA; BMA; gov.uk",2026-02-17,N
UK,NHS Pension,50846,65190,10.7,"2015 Scheme Tier 5. FLAT-RATE (see Tier 1 note). ST3-4 typical registrars (£61,825) fall in this tier.","NHSBSA; BMA; gov.uk",2026-02-17,N
UK,NHS Pension,65191,9999999,12.5,"2015 Scheme Tier 6. FLAT-RATE (see Tier 1 note). Applies to ST8 registrars (£73,992) and all consultants (£109,725-£145,478). Scotland and Northern Ireland have different tier structures — Edinburgh doctors should check mygov.scot/scottish-income-tax for Scottish IT rates.","NHSBSA; BMA; gov.uk",2026-02-17,N
